Unnamed: 0,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
0.0,0.838974358974359,0.704994011378431,0.5454545454545454,0.8389052595874583,0.18360995850622408,0.008392469192410445,0.00233,0.6073059360730593,0.7774420946626385,0.5693300790559308,0.041259846723614456
4.826953709513926e-05,0.6933333333333335,0.7029939707776068,0.7272727272727273,0.85722159801573,0.031327800829875525,0.08724797876029762,0.000687,0.032267884322678846,0.8580060422960725,0.38114902289499203,0.036423108958675135
9.653907419027852e-05,0.7128205128205128,0.9229984368682685,0.09090909090909091,0.8971825909987068,0.054149377593361005,0.04266961582657989,0.0469,0.10299340436326737,0.5548841893252769,0.4438226254458195,0.03964738552009839
0.00014480861128541778,0.7066666666666667,0.7389947015924424,0.18181818181818182,0.8573275953445972,0.026970954356846474,1.4046200392853852e-05,0.509,0.0502283105022831,0.5820745216515608,0.49481041368768797,0.04367681627393154
0.00019307814838055704,0.6800000000000002,0.6939937880738979,0.9090909090909092,0.7976087002607534,0.1773858921161826,0.025400520275680228,0.0,0.056113647894469806,0.5287009063444109,0.6901081471985273,0.0667233862632514
0.0002413476854756963,0.7794871794871796,0.8909977872550814,1.0,0.8564372177821118,0.03858921161825726,0.02299087903601981,0.0869,0.2876712328767123,0.9728096676737159,0.4941570928455204,0.046073549328503556
0.00028961722257083556,0.7343589743589745,0.8969979090575539,0.36363636363636365,0.8281783299060863,0.06524896265560166,0.012047091739228745,0.262,0.3150684931506849,0.3605236656596173,0.5219581545946124,0.05234729357321187
0.0003378867596659748,0.7446153846153847,0.8149962444237618,1.0,0.8557164359458141,0.032468879668049795,0.008020982834629464,0.081,0.0989345509893455,0.4652567975830816,0.5759002679026346,0.03844395986887612
0.0003861562967611141,0.7600000000000001,0.9129982338641476,0.18181818181818182,0.9096902758050497,0.04823651452282158,0.0034426644792746705,0.103,0.3150684931506849,0.6475327291037261,0.4931216409447266,0.03934599090261875
0.00043442583385625336,0.6410256410256411,0.876997503049312,0.9090909090909092,0.8283691250980475,0.16804979253112035,0.03162542681146964,0.0811,0.6671740233384069,0.8710976837865055,0.79013197902799,0.04293603136054051
0.0004826953709513926,0.6071794871794872,0.7669952700039812,0.8181818181818182,0.9213923809120009,0.028008298755186723,0.0021073216256295223,0.00165,0.1141552511415525,0.33031218529707956,0.3964424831122726,0.06431502798771946
0.0005309649080465318,0.5733333333333335,0.3449867032300756,0.36363636363636365,0.6943885014097644,0.04761410788381743,0.05783027529277668,0.000105,0.12836123795027904,0.4612286002014099,0.34753792548033463,0.050229996385417405
0.0005792344451416711,0.633846153846154,0.9379987413744499,0.8181818181818182,0.9075279302961565,0.04730290456431536,0.017970793120060606,0.0,0.15474378488077117,0.8811681772406847,0.37578275232976677,0.05124031419958308
